,delivery_id,food_ready_time,dropoff_lat,dropoff_long,PackageWeight,Road_Distance
171,172,2/3/2015 3:12,37.4008229,-122.0826197,8.480665064,6.160955602
172,173,2/3/2015 3:07,37.5447835,-122.2925992,6.246450035,12.81863518
173,174,2/3/2015 3:03,37.443916,-122.146483,3.443993811,1.472027899
174,175,2/3/2015 3:05,37.434009,-122.127244,6.236471628,2.744409296
175,176,2/3/2015 3:27,37.45517336,-122.132943,0.348926516,2.830344905
176,177,2/3/2015 3:11,37.448996,-122.144017,4.714417576,1.928984132
177,178,2/3/2015 3:26,37.39922633,-122.107059,0.649052454,4.587271408
178,179,2/3/2015 3:11,37.5605304,-122.3255325,2.830566567,14.8914667
179,180,2/3/2015 3:06,37.457688,-122.150433,1.296432132,1.930848245
180,181,2/3/2015 3:18,37.4346109,-122.141282,1.078281939,1.68627662
181,182,2/3/2015 3:13,37.43055832,-122.1842364,4.458214523,2.255763141
182,183,2/3/2015 3:16,37.406587,-122.090225,0.18585572,5.449361533
183,184,2/3/2015 3:25,37.41974,-122.102868,3.603045192,5.053548206
184,185,2/3/2015 3:04,37.573599,-122.393965,0.346545803,20.84718346
185,186,2/3/2015 3:21,37.4053141,-122.1043718,0.323940241,4.732112988
186,187,2/3/2015 3:27,37.395865,-122.08499,1.025517291,6.132807496
187,188,2/3/2015 3:11,37.4482334,-122.1656494,8.299321007,0.954301582
188,189,2/3/2015 3:23,37.338644,-122.029309,4.287121324,14.21721703
189,190,2/3/2015 3:03,37.42656602,-122.1614141,3.310275405,1.530001813
190,191,2/3/2015 3:12,37.4412756,-122.1591753,5.515168593,0.824994277
191,192,2/3/2015 3:11,37.44683831,-122.1680396,0.053815908,0.971513559
192,193,2/3/2015 3:10,37.44304969,-122.1773126,1.545492285,1.4660006
193,194,2/3/2015 3:21,37.4072721,-122.1080943,0.114072936,4.485242289
194,195,2/3/2015 3:18,37.4187893,-122.1290791,4.503963049,2.801575428
195,196,2/3/2015 3:10,37.558239,-122.326718,2.651709947,14.9943036
196,197,2/3/2015 3:22,37.45868874,-122.1777619,1.529173624,2.043316396
197,198,2/3/2015 3:33,37.3667834,-122.0332728,9.27968271,11.09588408
198,199,2/3/2015 3:18,37.585354,-122.384363,4.605460845,19.9103424
199,200,2/3/2015 3:07,37.400274,-122.0297602,1.944919591,9.663375381
200,201,2/3/2015 3:15,37.3836055,-122.0725311,1.054988803,6.830047895
201,202,2/3/2015 3:26,37.401704,-122.0229,3.474227444,9.704510141
202,203,2/3/2015 3:31,37.4476267,-122.1407461,9.22508223,1.973536433
203,204,2/3/2015 3:26,37.448382,-122.154511,3.295952021,1.254050952
204,205,2/3/2015 3:23,37.583602,-122.342913,8.194408478,17.09702307
205,206,2/3/2015 3:23,37.3982377,-122.0523289,5.234776843,8.165622722
206,207,2/3/2015 3:29,37.41207,-122.088426,0.164958305,5.73718058
