Pair,Distance
"(5, 51)",2.678171147
"(51, 6)",2.239856044
"(6, 51)",2.239856044
"(51, 7)",7.649822655
"(7, 51)",7.649822655
"(51, 8)",5.998777771
"(8, 51)",5.998777771
"(51, 9)",8.357937047
"(9, 51)",8.357937047
"(52, 1)",2.719119496
"(1, 52)",2.719119496
"(52, 2)",3.897363186
"(2, 52)",3.897363186
"(52, 3)",3.467188043
"(3, 52)",3.467188043
"(52, 4)",2.551784286
"(4, 52)",2.551784286
"(52, 5)",3.118723186
"(5, 52)",3.118723186
"(52, 6)",0.823751535
"(6, 52)",0.823751535
"(52, 7)",6.175247135
"(7, 52)",6.175247135
"(52, 8)",4.524140114
"(8, 52)",4.524140114
"(52, 9)",8.800291062
"(9, 52)",8.800291062
"(53, 1)",4.189221145
"(1, 53)",4.189221145
"(53, 2)",0.813001816
"(2, 53)",0.813001816
"(53, 3)",3.497635222
"(3, 53)",3.497635222
"(53, 4)",4.596405561
"(4, 53)",4.596405561
"(53, 5)",6.63816853
"(5, 53)",6.63816853
"(53, 6)",4.064325574
"(6, 53)",4.064325574
"(53, 7)",9.474292185
"(7, 53)",9.474292185
"(53, 8)",7.823247301
"(8, 53)",7.823247301
"(53, 9)",5.853376957
"(9, 53)",5.853376957
"(54, 1)",9.844567164
"(1, 54)",9.844567164
"(54, 2)",7.096243231
"(2, 54)",7.096243231
"(54, 3)",9.631623323
"(3, 54)",9.631623323
"(54, 4)",14.78558508
"(4, 54)",14.78558508
"(54, 5)",14.57792289
"(5, 54)",14.57792289
"(54, 6)",12.36024979
"(6, 54)",12.36024979
"(54, 7)",16.24891379
"(7, 54)",16.24891379
"(54, 8)",15.05880191
"(8, 54)",15.05880191
"(54, 9)",2.211459389
"(9, 54)",2.211459389
"(55, 1)",0.799518066
"(1, 55)",0.799518066
"(55, 2)",3.532929095
"(2, 55)",3.532929095
"(55, 3)",1.54677883
"(3, 55)",1.54677883
"(55, 4)",3.857843991
"(4, 55)",3.857843991
"(55, 5)",4.424782891
"(5, 55)",4.424782891
"(55, 6)",1.555726573
"(6, 55)",1.555726573
"(55, 7)",6.965693184
"(7, 55)",6.965693184
"(55, 8)",5.3146483
"(8, 55)",5.3146483
"(55, 9)",9.29763641
"(9, 55)",9.29763641
"(56, 1)",2.410111698
"(1, 56)",2.410111698
"(56, 2)",6.76716515
"(2, 56)",6.76716515
"(56, 3)",3.36739586
"(3, 56)",3.36739586
"(56, 4)",5.801181793
"(4, 56)",5.801181793
"(56, 5)",6.368120694
"(5, 56)",6.368120694
"(56, 6)",2.600189087
"(6, 56)",2.600189087
"(56, 7)",6.624063408
"(7, 56)",6.624063408
"(56, 8)",4.241105623
"(8, 56)",4.241105623
"(56, 9)",10.42648111
"(9, 56)",10.42648111
"(57, 1)",3.742455396
"(1, 57)",3.742455396
"(57, 2)",5.071381554
"(2, 57)",5.071381554
"(57, 3)",5.900849702
"(3, 57)",5.900849702
"(57, 4)",3.955896334
"(4, 57)",3.955896334
"(57, 5)",3.96092944
"(5, 57)",3.96092944
"(57, 6)",1.927554979
"(6, 57)",1.927554979
"(57, 7)",4.700858026
"(7, 57)",4.700858026
"(57, 8)",3.049751005
"(8, 57)",3.049751005
"(57, 9)",12.95993495
"(9, 57)",12.95993495
"(58, 1)",11.10253275
"(1, 58)",11.10253275
"(58, 2)",15.22334095
"(2, 58)",15.22334095
"(58, 3)",11.8236338
"(3, 58)",11.8236338
"(58, 4)",13.31970876
"(4, 58)",13.31970876
"(58, 5)",13.11204657
"(5, 58)",13.11204657
"(58, 6)",9.158697855
"(6, 58)",9.158697855
"(58, 7)",3.623400712
"(7, 58)",3.623400712
"(58, 8)",5.746687556
"(8, 58)",5.746687556
"(58, 9)",18.88271904
"(9, 58)",18.88271904
"(59, 1)",8.367692572
"(1, 59)",8.367692572
"(59, 2)",6.75815527
"(2, 59)",6.75815527
"(59, 3)",8.15474873
"(3, 59)",8.15474873
"(59, 4)",12.36751984
"(4, 59)",12.36751984
